Income,Limit,Rating,Cards,Age,Education,Gender,Married,Ethnicity,Balance
286,2493,186,1,54,13, Male,Yes,Asian,741.47
753,6481,462,2,57,14,Female,Yes,Caucasian,1287.52
2702,3063,248,2,54,14,Female,No,Caucasian,3432.36
1865,3261,279,5,58,13, Male,Yes,Asian,1580.77
5381,2680,230,2,54,16, Male,Yes,Caucasian,12449.15
870,4351,323,2,54,17, Male,Yes,Caucasian,1158.3
3075,3613,278,4,51,14, Male,Yes,Asian,3849.86
2623,6645,483,3,54,14,Female,Yes,Asian,4009.52
2262,6090,442,3,52,15, Male,No,Caucasian,2271.68
5370,7659,538,2,62,12, Male,Yes,Asian,13155.12
379,3409,270,2,55,15,Female,Yes,Caucasian,138.66
1442,4411,326,2,66,14,Female,Yes,Caucasian,2419.62
5160,905,109,1,51,10, Male,Yes,African American,11417.55
4559,10673,750,3,59,13, Male,No,Caucasian,9399.27
1198,7555,547,3,58,14, Male,Yes,Asian,1477.92
4209,7530,515,1,56,13, Male,Yes,Caucasian,8245.03
5081,5435,388,2,51,12, Male,No,African American,10647.79
1524,1671,229,2,54,9,Female,No,African American,2093.19
557,1568,231,2,54,13, Male,Yes,African American,672.58
2624,4768,365,4,60,12,Female,No,Caucasian,3197.88
1937,2168,206,2,54,13, Male,No,African American,2220.53
2586,5611,411,4,55,12,Female,No,Caucasian,3289.03
582,2179,167,1,57,13, Male,No,African American,1236.71
2761,5352,385,4,53,13,Female,Yes,Caucasian,3527.45
3942,1552,142,1,61,15,Female,No,African American,5941.02
3912,5429,396,3,60,14,Female,Yes,Caucasian,6134.09
3393,7114,512,2,50,11, Male,No,Asian,6289.92
771,1705,230,2,54,17, Male,Yes,Asian,1383.03
932,2650,222,2,64,14, Male,Yes,Asian,592.81
4369,1233,131,1,62,10,Female,Yes,African American,7982.68
5543,4828,369,5,62,16,Female,No,Asian,11599.98
4801,5443,407,2,59,16, Male,Yes,African American,9967.86
871,1485,135,1,52,13,Female,No,African American,1777.56
1867,4697,344,4,48,12, Male,No,Asian,2195.94
4727,4613,344,5,57,14, Male,Yes,Asian,10415.22
5600,4159,310,3,59,11, Male,Yes,Asian,13108.73
5239,1567,142,1,48,16, Male,Yes,African American,12053.66
2671,5228,377,3,55,18, Male,No,Caucasian,4387.07
2759,1357,126,1,54,16, Male,No,African American,3998.66
4066,6135,466,4,65,14, Male,No,Caucasian,6951.12
3318,4378,339,3,56,14,Female,Yes,Asian,5099.55
5100,5533,433,5,54,15,Female,Yes,Asian,9364.46
4147,2646,199,1,57,9, Male,Yes,Asian,7108.51
426,4673,341,2,59,18, Male,No,Asian,552.68
2804,5728,435,2,60,13,Female,Yes,African American,2967.08
1342,1433,125,1,59,14,Female,No,African American,1256.51
4526,4411,326,2,55,14,Female,Yes,Caucasian,8639.85
636,4049,296,1,57,14,Female,Yes,Caucasian,1262.26
2614,3838,296,5,57,12, Male,No,Asian,3673.23
942,2529,192,1,55,14,Female,Yes,Caucasian,683.28
2080,6819,505,4,59,11, Male,Yes,Caucasian,2303.08
2091,1160,126,1,57,10, Male,Yes,African American,2113.39
4291,1362,143,1,61,15,Female,Yes,African American,6338.04
2048,5550,406,2,60,15,Female,Yes,Asian,3020.73
4921,3189,263,3,52,11, Male,No,Asian,11201.51
5384,2001,189,1,65,12,Female,Yes,African American,11362.12
1830,5466,413,4,54,16, Male,Yes,Asian,2038.02
2871,1757,223,2,56,14,Female,No,African American,3904.68
2078,4270,299,1,53,18,Female,Yes,Caucasian,2582.86
1513,4263,317,1,54,11, Male,No,Caucasian,2413.99
4033,3211,265,4,53,15,Female,No,Asian,6465.91
1186,1924,258,1,59,14,Female,Yes,Asian,1383.56
4688,7010,494,3,57,16,Female,Yes,Caucasian,7660.42
4649,1626,224,2,60,10,Female,Yes,African American,7555.77
5168,4673,341,2,59,16, Male,No,Asian,11753.67
2783,6819,491,2,56,16,Female,Yes,African American,3323.71
3836,2525,192,1,59,12, Male,Yes,Caucasian,6628.22
4344,5289,410,2,51,15,Female,Yes,Caucasian,7514.09
2441,4569,354,2,56,14, Male,Yes,African American,2848.64
5390,5619,418,2,53,17,Female,Yes,Caucasian,11171.98
4546,5673,411,4,62,13,Female,Yes,Asian,6958.5
597,2330,203,1,47,17,Female,No,African American,1583.03
4338,2179,167,1,59,12, Male,No,African American,9291.05
1610,5180,382,3,57,12, Male,Yes,Asian,2168.23
2447,1829,233,2,61,13, Male,Yes,Caucasian,2485.82
3883,5435,388,2,55,13, Male,No,African American,6249.62
2094,10088,730,7,50,17,Female,Yes,Caucasian,2190.33
3684,4668,341,2,58,12,Female,No,Asian,4842.75
4529,4763,351,2,59,13,Female,Yes,Asian,8029.84
1245,1501,150,1,57,18, Male,Yes,African American,1441.64
5493,3625,289,6,52,10,Female,No,Caucasian,10311.9
1703,6457,455,2,57,11,Female,Yes,Caucasian,2305.13
4173,5289,410,2,51,20,Female,Yes,Caucasian,6983.09
5067,4534,333,2,62,15, Male,No,African American,11141.63
1376,1647,213,1,61,14,Female,Yes,Caucasian,1892.04
3137,6442,489,4,59,16, Male,Yes,Caucasian,5078.16
3296,6784,499,2,66,12,Female,No,African American,4244.01
1622,1335,138,1,54,10, Male,No,African American,2064.25
3770,5310,392,2,57,12,Female,No,Caucasian,5218.76
1703,1389,149,1,53,17,Female,Yes,African American,2181.58
955,4865,381,5,60,17,Female,No,Caucasian,1375.69
1416,10088,730,7,60,15,Female,Yes,Caucasian,1362.89
4472,1829,258,1,60,12, Male,Yes,African American,8301.58
2893,9113,626,1,65,17, Male,Yes,Asian,4175.96
658,2101,171,1,48,14, Male,No,Asian,1062.63
2254,7100,503,2,60,13, Male,No,Caucasian,2680.52
2225,1786,222,2,54,14,Female,Yes,African American,2624.64
1656,3250,228,2,60,15, Male,No,Asian,1985.31
2788,3874,298,3,52,16,Female,Yes,Asian,3251.85
